Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,0.13,All
185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1,4.8,0,Yes,None,Religious,No,0.025,All
186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,Yes,None,Religious,No,0.37,All
187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1,4.5,0,Yes,None,Religious,Yes,0.09,Morning
188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,None,Historical,Yes,0.25,All
189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,Yes,None,Historical,Yes,0.065,All
190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,Yes,None,Historical,Yes,0.07,Afternoon
191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,None,Wildlife,Yes,0.035,All
192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,Yes,None,Historical,Yes,0.0165,Afternoon
193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1,4.8,0,Yes,None,Religious,No,0.045,All
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All
195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2,4.6,0,Yes,None,Nature,Yes,0.15,Morning
196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2,4.9,20,Yes,None,Nature,Yes,0.15,Morning
197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2,4.6,100,No,None,Nature,Yes,0.11,All
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5,4.7,0,Yes,None,Religious,No,0.55,All
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2,4.1,0,No,None,Recreational,Yes,0.01,All
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6,4.5,0,No,None,Religious,Yes,0.11,All
201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,None,Religious,No,0.05,All
202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2,4.5,0,No,None,Nature,Yes,0.1,All
203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,No,None,Historical,Yes,0.011,All
204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,No,None,Religious,No,0.015,Morning
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,No,None,Wildlife,Yes,0.01,All
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,No,None,Wildlife,Yes,0.02,All
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1,4.8,0,No,None,Historical,Yes,0.012,All
208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,None,Nature,Yes,0.1,All
209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1,4.5,0,Yes,None,Adventure,Yes,0.05,Afternoon
210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,None,Religious,No,0.05,All
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,None,Religious,Yes,0.49,Evening
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1,4.8,0,Yes,None,Historical,Yes,0.03,Morning
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1,4.1,0,Yes,None,Cultural,Yes,0.01,Morning
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1,4.8,0,Yes,None,Religious,Yes,0.1,Morning
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1,4.5,0,No,None,Nature,Yes,0.025,All
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3,4.4,250,Yes,None,Wildlife,Yes,0.035,All
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4,4.4,60,No,None,Wildlife,Yes,0.065,All
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,None,Recreational,Yes,0.09,Morning
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,None,Religious,No,0.045,All
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,None,Architectural,No,0.07,All
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3,4.4,100,Yes,None,Wildlife,Yes,0.07,All
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1,4.5,20,Yes,Friday,Historical,Yes,0.09,All
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,None,Nature,Yes,0.15,All
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2,4.7,0,Yes,None,Religious,No,1,All
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,None,Historical,Yes,0.83,All
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1,4.6,0,Yes,None,Religious,No,0.35,All
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,None,Nature,Yes,1.2,All
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1,4.5,0,Yes,None,Historical,Yes,0.13,All
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1,4.5,0,No,None,Engineering Marvel,Yes,0.01,All
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2,3.9,0,Yes,None,Nature,Yes,0.1,Morning
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1,4.6,0,Yes,None,Religious,No,0.01,All
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1,4.3,0,No,None,Nature,Yes,0.018,Morning
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,None,Recreational,Yes,0.014,Morning
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1,4.4,0,No,None,Nature,Yes,0.055,All
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,None,Recreational,Yes,0.1,Morning
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2,4.7,0,Yes,None,Religious,No,0.65,All
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,None,Religious,No,0.01,All
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1,4.6,20,Yes,None,Historical,No,0.47,Morning
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1,4.1,10,Yes,None,Recreational,Yes,0.61,Morning
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1,4.7,0,Yes,None,Religious,No,0.3,All
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2,3.9,0,No,None,Recreational,Yes,0.1,Morning
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,None,Religious,No,0.35,All
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1,4.6,40,Yes,None,Historical,No,0.09,All
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1,4.2,0,No,None,Recreational,Yes,0.019,Morning
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1,4.6,0,Yes,None,Religious,No,0.16,All
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1,4.7,0,Yes,None,Religious,No,0.28,All
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,0.44,All
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,None,Recreational,Yes,0.39,Morning
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1,4.7,0,No,None,Religious,No,0.49,All
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2,4.3,0,Yes,None,Nature,Yes,0.032,All
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,None,Historical,Yes,0.075,All
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,None,Natural Wonder,Yes,0.11,Afternoon
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,No,0.041,All
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1,4.4,10,Yes,None,Wildlife,Yes,0.7,All
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,None,Historical,Yes,0.015,Morning
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1,4.7,0,Yes,None,Religious,Yes,0.12,All
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1,4.7,0,Yes,None,Religious,No,0.59,All
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2,4.5,0,Yes,None,Recreational,Yes,0.019,All
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,40,Yes,None,Historical,Yes,0.49,All
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,4.5,60,No,None,Natural Wonder,Yes,0.31,Afternoon
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,4.6,0,Yes,None,Historical,Yes,0.059,All
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,3.8,20,Yes,None,Recreational,Yes,0.03,All
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,10,Yes,None,Cultural,Yes,0.065,All
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2,4.3,20,Yes,None,Historical,Yes,0.15,Afternoon
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1,4.6,20,No,None,Religious,No,0.015,Morning
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2,4.7,50,Yes,None,Religious,No,0.12,All
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1,4.6,10,Yes,None,Religious,No,0.035,Morning
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1,4.8,50,Yes,None,Cultural,Yes,0.1,All
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1,4.7,0,Yes,None,Religious,No,0.075,All
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2,4.5,0,Yes,None,Nature,Yes,0.15,Morning
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2,4.6,0,Yes,None,Religious,No,0.21,All
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3,4.5,650,No,None,Wildlife,No,0.068,Morning
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1,4.1,0,Yes,None,Nature,Yes,0.01,Morning
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1,4.7,0,No,None,Historical,Yes,0.065,All
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2,4.7,0,No,None,Cultural,Yes,0.01,Morning
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3,4.6,500,No,None,Wildlife,Yes,0.19,Morning
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1,4.5,0,No,None,Religious,Yes,0.9,All
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2,4.4,500,Yes,None,Wildlife,Yes,0.037,All
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2,4.7,0,No,None,Religious,No,0.032,Morning
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1,4.5,0,No,None,Nature,Yes,0.01,Morning
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,None,Historical,Yes,0.025,Morning
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,None,Nature,Yes,0.19,Morning
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3,4.7,0,No,None,Trekking,Yes,0.01,Afternoon
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1,4.5,0,Yes,None,Recreational,Yes,0.09,Morning
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2,4.1,0,Yes,None,Cultural,Yes,0.035,All
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1,4.5,200,Yes,None,Recreational,Yes,0.015,Morning
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1,4.8,0,No,None,Nature,Yes,0.09,Morning
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1,4.5,0,No,None,Nature,Yes,0.04,Morning
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,None,Nature,Yes,0.015,Morning
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1,4.5,0,No,None,Nature,Yes,0.6,Afternoon
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,None,Historical,Yes,1.2,Afternoon
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1,4.7,0,Yes,None,Religious,Yes,1.8,All
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1,4.6,0,Yes,None,Religious,Yes,0.13,All
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,None,Religious,Yes,0.2,All
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,None,Wildlife,Yes,0.5,All
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1,4.7,0,Yes,None,Religious,Yes,0.25,All
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1,4.4,10,Yes,None,Cultural,Yes,0.31,All
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2,4.6,0,Yes,None,Shopping,Yes,1.2,Afternoon
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2,4.7,0,Yes,None,Entertainment,Yes,0.71,Afternoon
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1,4.8,0,Yes,None,Religious,Yes,1.05,All
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,None,Religious,No,2,All
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2,4.6,0,Yes,None,Shopping,Yes,1.5,All
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2,4.2,0,Yes,None,Shopping,Yes,0.45,All
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4,4.5,890,Yes,None,Entertainment,Yes,0.95,All
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2,4.5,0,Yes,None,Shopping,Yes,1.8,All
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2,4.5,0,Yes,None,Shopping,Yes,1.2,All
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1,4.5,0,Yes,None,Historical,Yes,0.49,All
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,None,Religious,No,0.1,All
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2,4.6,0,Yes,None,Shopping,Yes,0.35,All
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3,4.6,0,Yes,None,Shopping,Yes,1.9,All
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2,4.6,0,No,None,Nature,Yes,0.06,Morning
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3,4.6,0,Yes,Monday,Religious,No,0.18,All
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2,4.5,40,Yes,None,Historical,Yes,1.3,Afternoon
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2,4.7,10,Yes,Monday,Cultural,Yes,0.15,All
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2,4.4,200,Yes,None,Historical,Yes,0.51,Morning
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2,4.5,200,Yes,None,Historical,Yes,0.63,All
325,Southern,Tamil Nadu,Chennai,Marina Beach #1,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
326,Western,Rajasthan,Jodhpur,Mehrangarh Fort #2,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
327,Northern,Uttarakhand,Rishikesh,Laxman Jhula #3,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
328,Northern,Uttarakhand,Rishikesh,Laxman Jhula #4,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
329,Eastern,West Bengal,Darjeeling,Tiger Hill #5,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
330,Southern,Kerala,Alleppey,Alleppey Backwaters #6,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
331,Southern,Tamil Nadu,Chennai,Marina Beach #7,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
332,Southern,Tamil Nadu,Chennai,Marina Beach #8,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
333,Northern,Uttarakhand,Rishikesh,Laxman Jhula #9,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
334,Southern,Kerala,Alleppey,Alleppey Backwaters #10,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
335,Southern,Tamil Nadu,Chennai,Marina Beach #11,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
336,Southern,Kerala,Alleppey,Alleppey Backwaters #12,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
337,Southern,Tamil Nadu,Chennai,Marina Beach #13,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
338,Eastern,West Bengal,Darjeeling,Tiger Hill #14,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
339,Eastern,West Bengal,Darjeeling,Tiger Hill #15,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
340,Eastern,West Bengal,Darjeeling,Tiger Hill #16,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
341,Western,Rajasthan,Jodhpur,Mehrangarh Fort #17,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
342,Northern,Uttarakhand,Rishikesh,Laxman Jhula #18,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
343,Southern,Kerala,Alleppey,Alleppey Backwaters #19,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
344,Western,Rajasthan,Jodhpur,Mehrangarh Fort #20,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
345,Southern,Tamil Nadu,Chennai,Marina Beach #21,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
346,Southern,Tamil Nadu,Chennai,Marina Beach #22,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
347,Eastern,West Bengal,Darjeeling,Tiger Hill #23,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
348,Eastern,West Bengal,Darjeeling,Tiger Hill #24,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
349,Eastern,West Bengal,Darjeeling,Tiger Hill #25,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
350,Western,Rajasthan,Jodhpur,Mehrangarh Fort #26,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
351,Southern,Kerala,Alleppey,Alleppey Backwaters #27,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
352,Western,Rajasthan,Jodhpur,Mehrangarh Fort #28,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
353,Northern,Uttarakhand,Rishikesh,Laxman Jhula #29,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
354,Southern,Kerala,Alleppey,Alleppey Backwaters #30,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
355,Western,Rajasthan,Jodhpur,Mehrangarh Fort #31,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
356,Eastern,West Bengal,Darjeeling,Tiger Hill #32,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
357,Southern,Tamil Nadu,Chennai,Marina Beach #33,Beach,1800,2.5,4.4,0,Yes,,Natural,Yes,1.8,Evening
358,Northern,Uttarakhand,Rishikesh,Laxman Jhula #34,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
359,Western,Rajasthan,Jodhpur,Mehrangarh Fort #35,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
360,Eastern,West Bengal,Darjeeling,Tiger Hill #36,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
361,Western,Rajasthan,Jodhpur,Mehrangarh Fort #37,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
362,Southern,Kerala,Alleppey,Alleppey Backwaters #38,Backwater,1900,4,4.6,200,Yes,,Scenic,Yes,1.1,Winter
363,Eastern,West Bengal,Darjeeling,Tiger Hill #39,View Point,1850,1.5,4.5,10,Yes,,Scenic,Yes,0.75,Early Morning
364,Northern,Uttarakhand,Rishikesh,Laxman Jhula #40,Bridge,1939,1,4.3,0,Yes,,Religious,Yes,1.2,Morning
365,Western,Rajasthan,Jodhpur,Mehrangarh Fort #41,Fort,1459,3,4.7,100,Yes,,Historical,Yes,1.5,Winter
